,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
409888,53,10.5367793241,30,0.976883561644,1168,503,89.4632206759,23
400335,104,20.1941747573,11,0.97506234414,1203,515,79.8058252427,93
400337,186,28.3536585366,48,0.91915175613,1509,656,71.6463414634,138
400331,344,34.7826086957,73,0.906019922044,2309,989,65.2173913043,271
400333,247,26.7605633803,19,0.927136851938,2141,923,73.2394366197,228
400648,50,13.698630137,28,0.976331360947,845,365,86.301369863,22
400640,56,15.6424581006,27,0.979393939394,825,358,84.3575418994,29
400641,88,24.7887323944,6,0.979166666667,816,355,75.2112676056,82
400643,46,12.6373626374,25,0.977541371158,846,364,87.3626373626,21
400644,78,21.9718309859,70,0.977025392987,827,355,78.0281690141,8
400645,73,20.9169054441,72,0.897342995169,828,349,79.0830945559,1
400646,15,9.61538461538,15,0.975409836066,366,156,90.3846153846,0
400647,51,14.0883977901,25,0.976019184652,834,362,85.9116022099,26
400349,75,17.7304964539,26,0.959677419355,992,423,82.2695035461,49
412382,18,14.2857142857,6,0.965397923875,289,126,85.7142857143,12
412383,42,32.0610687023,8,0.914473684211,304,131,67.9389312977,34
412386,33,29.7297297297,2,0.95703125,256,111,70.2702702703,31
412385,8,7.54716981132,0,0.984,250,106,92.4528301887,8
412388,19,17.5925925926,17,0.987951807229,249,108,82.4074074074,2
412258,25,12.077294686,2,0.985507246377,483,207,87.922705314,23
400209,175,22.9057591623,117,0.939650310209,1773,764,77.0942408377,58
400204,235,28.5540704739,96,0.932089165371,1929,823,71.4459295261,139
400206,158,17.4778761062,127,0.954115421003,2114,904,82.5221238938,31
400207,92,18.2902584493,44,0.964346349745,1178,503,81.7097415507,48
400419,127,20.8538587849,10,0.977288857346,1409,609,79.1461412151,117
400415,78,17.9310344828,40,0.970530451866,1018,435,82.0689655172,38
400414,158,15.7842157842,122,0.952421774539,2333,1001,84.2157842158,36
400417,245,24.9490835031,53,0.92987804878,2296,982,75.0509164969,192
400416,227,26.9596199525,14,0.933130699088,1974,842,73.0403800475,213
400411,152,34.6241457859,3,0.98041136141,1021,439,65.3758542141,149
400253,224,22.9743589744,59,0.938981562774,2278,975,77.0256410256,165
400343,165,16.5995975855,86,0.954565123323,2311,994,83.4004024145,79
412295,46,25.988700565,40,0.961165048544,412,177,74.011299435,6
400288,82,10.8609271523,19,0.978494623656,1767,755,89.1390728477,63
400251,241,28.4198113208,28,0.923508414074,1961,848,71.5801886792,213
412405,9,11.1111111111,9,0.989417989418,189,81,88.8888888889,0
412404,11,14.4736842105,0,0.971590909091,176,76,85.5263157895,11
400257,148,22.0238095238,104,0.927802406586,1579,672,77.9761904762,44
412407,32,40.0,3,0.909574468085,188,80,60.0,29
400114,207,26.7787839586,135,0.922041503085,1783,773,73.2212160414,72
400115,157,15.9229208925,110,0.951598962835,2314,986,84.0770791075,47
400116,229,23.0382293763,162,0.955391944565,2309,994,76.9617706237,67
412406,4,4.93827160494,4,0.983783783784,185,81,95.0617283951,0
400110,295,31.1181434599,18,0.930512249443,2245,948,68.8818565401,277
400111,250,32.2164948454,21,0.925596890616,1801,776,67.7835051546,229
412498,8,15.3846153846,0,0.983193277311,119,52,84.6153846154,8
412499,0,0.0,0,1.0,106,46,100.0,0
412497,22,36.6666666667,1,0.948905109489,137,60,63.3333333333,21
412319,16,9.0395480226,3,0.980535279805,411,177,90.9604519774,13
412252,38,15.5737704918,32,0.980322003578,559,244,84.4262295082,6
412253,22,9.44206008584,7,0.965517241379,551,233,90.5579399142,15
