,n_baseline_misclassified,null_hypothesis,better_algorithm,baseline accuracy,value,n_svm_misclassified,SVM accuracy
412446,0,3.841459,0,98.7804878049,2147483647,0,98.7804878049
400271,78,3.841459,1,73.805601318,12.3418803419,39,80.3953871499
412250,6,3.841459,2,79.5053003534,0.444444444444,3,80.9187279152
400273,0,3.841459,0,90.6949352179,2147483647,0,90.6949352179
400274,43,3.841459,1,76.3097949886,6.15384615385,22,81.5489749431
400277,0,3.841459,0,91.103202847,2147483647,0,91.103202847
400276,33,3.841459,1,81.2356979405,15.625,7,87.1853546911
400279,0,3.841459,0,91.1764705882,2147483647,0,91.1764705882
400278,10,3.841459,2,81.0782241015,1.06666666667,5,81.3953488372
400442,54,3.841459,1,74.4303797468,14.7162162162,20,83.5443037975
400379,122,3.841459,1,69.7885196375,21.2375690608,59,79.3051359517
400440,83,3.841459,1,78.22671156,18.7203389831,35,83.5016835017
400441,0,3.841459,0,90.4761904762,2147483647,0,90.4761904762
400371,104,3.841459,1,68.5050798258,37.0661764706,32,79.2452830189
400373,3,3.841459,2,88.8888888889,0.25,1,89.1812865497
400376,1,3.841459,2,87.2305140962,0.0,0,87.3963515755
400297,0,3.841459,2,91.9902912621,0.0,1,91.7475728155
412310,1,3.841459,2,92.6966292135,0.25,3,91.5730337079
400082,130,3.841459,1,67.8498985801,25.9259259259,59,75.354969574
400080,8,3.841459,2,80.6593406593,0.45,12,80.2197802198
400081,46,3.841459,1,75.905511811,8.59701492537,21,80.157480315
400086,2,3.841459,2,90.3921568627,0.25,2,90.3921568627
400087,100,3.841459,1,70.7641196013,23.8581560284,41,80.5647840532
400089,0,3.841459,2,91.3131313131,0.0,1,91.1111111111
412317,2,3.841459,2,91.5730337079,0.0,3,91.0112359551
412228,5,3.841459,2,93.2384341637,1.5,1,94.6619217082
412186,6,3.841459,2,91.9014084507,1.125,2,93.3098591549
412221,4,3.841459,2,93.4545454545,2.25,0,94.9090909091
412189,1,3.841459,2,93.661971831,0.0,2,93.3098591549
412225,60,3.841459,1,61.6788321168,13.6,25,74.4525547445
412226,0,3.841459,0,91.8439716312,2147483647,0,91.8439716312
400280,38,3.841459,1,82.1510297483,11.2941176471,13,87.8718535469
400019,6,3.841459,2,92.1367521368,1.125,2,92.8205128205
400018,0,3.841459,2,85.1380042463,0.0,1,85.0318471338
400152,98,3.841459,1,71.2146422629,31.2671755725,33,82.0299500832
400154,6,3.841459,1,89.413118527,4.16666666667,0,90.1035673188
400157,0,3.841459,0,91.3173652695,2147483647,0,91.3173652695
400158,3,3.841459,2,88.3534136546,0.0,4,88.1526104418
400010,0,3.841459,0,89.0200708383,2147483647,0,89.0200708383
400013,34,3.841459,1,77.0627062706,5.78,16,80.198019802
412451,3,3.841459,2,95.0,0.0,2,96.25
412456,1,3.841459,2,98.75,0.5,1,98.75
412457,1,3.841459,2,97.5308641975,0.5,1,97.5308641975
400017,0,3.841459,2,87.0220162225,0.0,1,86.9061413673
409888,4,3.841459,2,91.0536779324,0.166666666667,2,91.4512922465
400335,6,3.841459,2,89.3203883495,0.1,4,89.7087378641
400337,132,3.841459,1,66.6158536585,48.1453488372,40,81.5548780488
400331,138,3.841459,1,66.5318503539,29.9444444444,60,74.7219413549
400333,37,3.841459,1,77.6814734561,10.58,13,80.4983748646
400648,31,3.841459,1,79.4520547945,6.56818181818,13,84.3835616438
400640,20,3.841459,2,83.7988826816,0.735294117647,14,85.4748603352
400641,33,3.841459,1,80.2816901408,8.88888888889,12,86.1971830986
400643,0,3.841459,0,92.032967033,2147483647,0,92.032967033
400644,0,3.841459,0,90.7042253521,2147483647,0,90.7042253521
400645,105,3.841459,1,61.3180515759,24.1610738255,44,79.0830945559
400646,1,3.841459,2,90.3846153846,0.5,1,90.3846153846
400647,19,3.841459,2,86.7403314917,3.7037037037,8,89.7790055249
400349,54,3.841459,1,76.8321513002,14.7162162162,20,84.8699763593
412382,3,3.841459,2,85.7142857143,0.25,1,87.3015873016
412383,14,3.841459,2,68.7022900763,2.45,6,74.8091603053
412386,8,3.841459,2,71.1711711712,1.45454545455,3,75.6756756757
412385,3,3.841459,2,91.5094339623,1.33333333333,0,94.3396226415
412388,0,3.841459,0,88.8888888889,2147483647,0,88.8888888889
412258,2,3.841459,2,94.2028985507,0.0,1,95.1690821256
400209,9,3.841459,2,76.5706806283,1.23076923077,4,77.0942408377
400204,114,3.841459,1,70.7168894289,14.7784090909,62,76.7922235723
400206,0,3.841459,2,89.1592920354,0.5,2,88.9380530973
400207,32,3.841459,1,82.703777336,6.28260869565,14,86.282306163
400419,2,3.841459,2,89.6551724138,0.5,0,89.9835796388
400415,20,3.841459,2,83.6781609195,2.7,10,85.9770114943
400414,76,3.841459,1,81.018981019,8.60504201681,43,84.2157842158
400417,126,3.841459,1,73.0142566191,31.9602272727,50,81.1608961303
400416,24,3.841459,1,76.3657957245,8.25806451613,7,78.5035629454
400411,11,3.841459,2,84.5102505695,2.4,4,86.1047835991
400253,23,3.841459,2,78.9743589744,3.55882352941,11,80.3076923077
400343,3,3.841459,2,85.3118712274,0.0,4,85.2112676056
412295,0,3.841459,0,84.1807909605,2147483647,0,84.1807909605
400288,0,3.841459,0,92.3178807947,2147483647,0,92.3178807947
400251,100,3.841459,1,72.9952830189,19.2397260274,46,79.7169811321
412405,1,3.841459,2,91.3580246914,0.25,3,88.8888888889
412404,2,3.841459,2,84.2105263158,0.0,1,85.5263157895
400257,164,3.841459,1,64.4345238095,61.014084507,49,82.1428571429
412407,8,3.841459,2,58.75,0.75,4,63.75
400114,189,3.841459,1,62.6131953428,58.368627451,66,78.6545924968
400115,0,3.841459,1,88.1338742394,2147483647,0,88.2352941176
400116,0,3.841459,0,81.8913480885,2147483647,0,81.8913480885
412406,3,3.841459,2,92.5925925926,0.25,1,95.0617283951
400110,92,3.841459,1,73.3122362869,24.6929133858,35,79.3248945148
400111,38,3.841459,1,69.9742268041,13.7959183673,11,73.5824742268
412498,1,3.841459,2,84.6153846154,0.5,1,84.6153846154
412499,1,3.841459,2,97.8260869565,0.0,0,100.0
412497,5,3.841459,2,63.3333333333,0.0,4,65.0
412319,1,3.841459,2,92.0903954802,0.5,1,92.0903954802
412252,0,3.841459,0,91.8032786885,2147483647,0,91.8032786885
412253,2,3.841459,2,90.1287553648,0.0,1,90.9871244635
412254,1,3.841459,2,91.8103448276,0.5,1,92.2413793103
