,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
412406,4,4.93827160494,4,0.962162162162,185,81,95.0617283951,0
400110,196,20.6751054852,61,0.831625835189,2245,948,79.3248945148,135
400111,205,26.4175257732,30,0.768461965575,1801,776,73.5824742268,175
412498,8,15.3846153846,0,0.865546218487,119,52,84.6153846154,8
412499,0,0.0,0,0.990566037736,106,46,100.0,0
412497,21,35.0,5,0.751824817518,137,60,65.0,16
412319,14,7.90960451977,3,0.934306569343,411,177,92.0903954802,11
412252,20,8.19672131148,10,0.896243291592,559,244,91.8032786885,10
412253,21,9.01287553648,5,0.920145190563,551,233,90.9871244635,16
412254,18,7.75862068966,8,0.932203389831,531,232,92.2413793103,10
412255,35,16.2790697674,1,0.849019607843,510,215,83.7209302326,34
412256,12,5.45454545455,0,0.888235294118,510,220,94.5454545455,12
412311,16,9.09090909091,1,0.87684729064,406,176,90.9090909091,15
412259,16,8.42105263158,6,0.923611111111,432,190,91.5789473684,10
412315,27,15.6069364162,9,0.85111662531,403,173,84.3930635838,18
412314,22,13.3333333333,0,0.890306122449,392,165,86.6666666667,22
400291,192,19.9584199584,89,0.84012539185,2233,962,80.0415800416,103
400290,107,18.1049069374,41,0.860805860806,1365,591,81.8950930626,66
400060,40,7.8431372549,4,0.922288642186,1171,510,92.1568627451,36
400061,47,9.1796875,20,0.91395154553,1197,512,90.8203125,27
400062,121,19.1153238547,52,0.841077441077,1485,633,80.8846761453,69
400063,135,22.5752508361,22,0.794927536232,1380,598,77.4247491639,113
412401,2,2.46913580247,2,0.984042553191,188,81,97.5308641975,0
412400,2,2.43902439024,2,0.983957219251,187,82,97.5609756098,0
412403,3,3.7037037037,3,0.989304812834,187,81,96.2962962963,0
412402,1,1.21951219512,1,0.978947368421,190,82,98.7804878049,0
400068,41,9.66981132075,10,0.912087912088,1001,424,90.3301886792,31
412409,2,2.43902439024,2,0.957446808511,188,82,97.5609756098,0
412408,2,2.43902439024,1,0.931578947368,190,82,97.5609756098,1
400151,26,6.03248259861,8,0.910536779324,1006,431,93.9675174014,18
412458,2,2.5974025974,2,0.983870967742,186,77,97.4025974026,0
412452,3,3.75,3,0.957671957672,189,80,96.25,0
412453,9,10.9756097561,8,0.89417989418,189,82,89.0243902439,1
412466,4,4.93827160494,4,0.989247311828,186,81,95.0617283951,0
400367,55,8.16023738872,25,0.909722222222,1584,674,91.8397626113,30
400366,180,18.6528497409,55,0.828090385467,2257,965,81.3471502591,125
400365,175,17.6589303734,107,0.835788561525,2308,991,82.3410696266,68
400364,170,19.7444831591,54,0.817819810851,2009,861,80.2555168409,116
400363,57,13.133640553,21,0.886162904809,1019,434,86.866359447,36
400249,69,14.5569620253,27,0.855605381166,1115,474,85.4430379747,42
400361,77,14.8936170213,23,0.86432160804,1194,517,85.1063829787,54
400360,98,16.2790697674,18,0.838319088319,1404,602,83.7209302326,80
400244,78,9.84848484848,65,0.894994559304,1838,792,90.1515151515,13
400245,161,21.045751634,35,0.794034890264,1777,765,78.954248366,126
400246,189,19.2268565615,54,0.837209302326,2279,983,80.7731434385,135
400247,75,9.38673341677,20,0.903846153846,1872,799,90.6132665832,55
400240,203,21.7112299465,55,0.811614083219,2187,935,78.2887700535,148
412454,4,5.19480519481,4,0.951612903226,186,77,94.8051948052,0
412411,1,1.25,1,0.915789473684,190,80,98.75,0
400129,175,20.8085612366,51,0.817066939193,1957,841,79.1914387634,124
400093,133,19.940029985,36,0.815502882767,1561,667,80.059970015,97
400097,101,19.7265625,40,0.861204013378,1196,512,80.2734375,61
