,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
412452,3,3.75,3,0.957671957672,189,80,96.25,0
412453,8,9.75609756098,8,0.888888888889,189,82,90.243902439,0
412466,4,4.93827160494,4,0.983870967742,186,81,95.0617283951,0
400367,55,8.16023738872,25,0.909090909091,1584,674,91.8397626113,30
400366,224,23.2124352332,31,0.763402747009,2257,965,76.7875647668,193
400365,183,18.4661957619,116,0.82972270364,2308,991,81.5338042381,67
400364,202,23.4610917538,49,0.756097560976,2009,861,76.5389082462,153
400363,85,19.5852534562,72,0.794896957802,1019,434,80.4147465438,13
400249,106,22.3628691983,20,0.792825112108,1115,474,77.6371308017,86
400361,109,21.083172147,26,0.798994974874,1194,517,78.916827853,83
400360,113,18.7707641196,3,0.782051282051,1404,602,81.2292358804,110
400244,100,12.6262626263,44,0.842219804135,1838,792,87.3737373737,56
400245,184,24.0522875817,7,0.731007315701,1777,765,75.9477124183,177
400246,242,24.6185147508,44,0.778850372971,2279,983,75.3814852492,198
400247,80,10.0125156446,24,0.896367521368,1872,799,89.9874843554,56
400240,212,22.6737967914,28,0.789208962048,2187,935,77.3262032086,184
412454,4,5.19480519481,4,0.951612903226,186,77,94.8051948052,0
412411,1,1.25,1,0.915789473684,190,80,98.75,0
400129,217,25.8026159334,39,0.7424629535,1957,841,74.1973840666,178
400093,143,21.4392803598,13,0.732863549007,1561,667,78.5607196402,130
400097,125,24.4140625,30,0.796822742475,1196,512,75.5859375,95
412214,25,8.71080139373,5,0.909365558912,662,287,91.2891986063,20
412215,18,6.71641791045,10,0.937106918239,636,268,93.2835820896,8
412216,29,10.9848484848,7,0.847058823529,595,264,89.0151515152,22
412309,30,16.9491525424,10,0.87104622871,411,177,83.0508474576,20
412476,2,2.46913580247,2,0.978494623656,186,81,97.5308641975,0
412211,10,3.54609929078,3,0.938461538462,650,282,96.4539007092,7
412212,15,5.30035335689,3,0.953313253012,664,283,94.6996466431,12
412213,24,12.6984126984,3,0.856164383562,438,189,87.3015873016,21
412199,13,4.83271375465,7,0.943925233645,642,269,95.1672862454,6
400392,40,8.84955752212,6,0.914645974782,1031,452,91.1504424779,34
412196,50,17.667844523,11,0.796636085627,654,283,82.332155477,39
412195,17,6.18181818182,2,0.926677067083,641,275,93.8181818182,15
412194,24,8.57142857143,6,0.923896499239,657,280,91.4285714286,18
412193,19,6.71378091873,7,0.918552036199,663,283,93.2862190813,12
412192,25,9.09090909091,2,0.908809891808,647,275,90.9090909091,23
412191,33,11.7021276596,4,0.907153729072,657,282,88.2978723404,29
412190,42,14.8409893993,0,0.871913580247,648,283,85.1590106007,42
400121,86,12.8166915052,22,0.873497786211,1581,671,87.1833084948,64
400289,202,24.1050119332,19,0.76557711951,1958,838,75.8949880668,183
400124,234,27.7909738717,43,0.738976178409,1973,842,72.2090261283,191
400024,128,21.5488215488,72,0.797258297258,1386,594,78.4511784512,56
400025,222,23.8453276047,50,0.778548312529,2163,931,76.1546723953,172
400027,78,12.7868852459,17,0.871650211566,1418,610,87.2131147541,61
400021,173,21.0206561361,10,0.764613778706,1916,823,78.9793438639,163
400029,41,9.83213429257,8,0.901740020471,977,417,90.1678657074,33
412449,2,2.5,2,0.973404255319,188,80,97.5,0
400147,72,16.7053364269,27,0.85093780849,1013,431,83.2946635731,45
412440,9,11.1111111111,0,0.882352941176,187,81,88.8888888889,9
400145,51,11.6438356164,22,0.898821218075,1018,438,88.3561643836,29
400144,143,14.8648648649,14,0.852068345324,2224,962,85.1351351351,129
412445,0,0.0,0,0.967741935484,186,80,100.0,0
400142,77,9.93548387097,18,0.877337733773,1818,775,90.064516129,59
412447,0,0.0,0,0.957219251337,187,79,100.0,0
400140,179,18.4917355372,21,0.783496007098,2254,968,81.5082644628,158
412500,2,4.44444444444,2,0.971428571429,105,45,95.5555555556,0
412501,4,14.8148148148,0,0.854838709677,62,27,85.1851851852,4
412502,4,36.3636363636,0,0.84,25,11,63.6363636364,4
400321,82,16.2055335968,24,0.857747671465,1181,506,83.7944664032,58
400320,63,9.33333333333,28,0.906918238994,1590,675,90.6666666667,35
400326,159,17.6079734219,60,0.827915869981,2092,903,82.3920265781,99
400657,73,20.2216066482,42,0.839667458432,842,361,79.7783933518,31
400656,31,9.06432748538,7,0.896815286624,785,342,90.9356725146,24
400655,28,7.8431372549,3,0.894357743097,833,357,92.1568627451,25
400654,50,13.9275766017,3,0.882211538462,832,359,86.0724233983,47
400653,59,16.3888888889,5,0.851674641148,836,360,83.6111111111,54
400652,43,12.2159090909,10,0.897218863362,827,352,87.7840909091,33
400651,48,13.9130434783,9,0.863463969659,791,345,86.0869565217,39
400198,188,26.404494382,8,0.754626865672,1675,712,73.595505618,180
412209,25,8.9605734767,10,0.926717557252,655,279,91.0394265233,15
400659,38,11.2759643917,4,0.884223918575,786,337,88.7240356083,34
400199,211,27.9840848806,54,0.743618831537,1763,754,72.0159151194,157
400211,252,26.3322884013,60,0.733936651584,2210,957,73.6677115987,192
412398,9,11.1111111111,9,0.94708994709,189,81,88.8888888889,0
400216,219,21.8344965105,84,0.789383561644,2336,1003,78.1655034895,135
412393,3,3.33333333333,1,0.966666666667,210,90,96.6666666667,2
412392,5,5.68181818182,3,0.92270531401,207,88,94.3181818182,2
412395,7,8.53658536585,7,0.920634920635,189,82,91.4634146341,0
412394,1,1.23456790123,1,0.968085106383,188,81,98.7654320988,0
412397,5,6.09756097561,5,0.951086956522,184,82,93.9024390244,0
412396,18,22.7848101266,4,0.75,184,79,77.2151898734,14
412399,5,6.17283950617,5,0.872340425532,188,81,93.8271604938,0
400195,107,21.021611002,65,0.812234494477,1177,509,78.978388998,42
400196,41,8.28282828283,2,0.9165232358,1162,495,91.7171717172,39
400219,114,13.4911242604,46,0.860913705584,1970,845,86.5088757396,68
400218,167,24.5227606461,52,0.732958098812,1599,681,75.4772393539,115
400356,138,20.8459214502,47,0.766645119586,1547,662,79.1540785498,91
400355,71,16.864608076,3,0.823350253807,985,421,83.135391924,68
400352,85,19.5402298851,24,0.851231527094,1015,435,80.4597701149,61
400350,201,25.5076142132,18,0.747954173486,1833,788,74.4923857868,183
400351,50,8.36120401338,22,0.889605734767,1395,598,91.6387959866,28
400422,194,21.5316315205,34,0.783731125183,2053,901,78.4683684795,160
400424,208,24.355971897,14,0.774387193597,1999,854,75.644028103,194
400425,213,22.8540772532,22,0.782350251486,2187,932,77.1459227468,191
400103,224,23.5541535226,50,0.783116299955,2227,951,76.4458464774,174
400101,162,24.0356083086,36,0.747455470738,1572,674,75.9643916914,126
412327,10,5.78034682081,2,0.925187032419,401,173,94.2196531792,8
412489,2,2.5,2,0.96256684492,187,80,97.5,0
412488,0,0.0,0,0.973404255319,188,80,100.0,0
412485,5,6.17283950617,5,0.913978494624,186,81,93.8271604938,0
412484,5,6.25,5,0.968085106383,188,80,93.75,0
400109,175,17.9671457906,61,0.803271441202,2262,974,82.0328542094,114
400108,62,14.5882352941,16,0.848024316109,987,425,85.4117647059,46
412481,4,4.87804878049,4,0.968085106383,188,82,95.1219512195,0
412480,1,1.23456790123,1,0.962365591398,186,81,98.7654320988,0
412483,7,8.64197530864,7,0.957894736842,190,81,91.3580246914,0
412482,3,3.7037037037,3,0.973684210526,190,81,96.2962962963,0
412416,3,3.65853658537,3,0.935483870968,186,82,96.3414634146,0
400057,87,10.223266745,10,0.893509127789,1972,851,89.776733255,77
412430,3,3.7037037037,3,0.952380952381,189,81,96.2962962963,0
412431,4,4.93827160494,4,0.962962962963,189,81,95.0617283951,0
412432,14,17.9487179487,0,0.837837837838,185,78,82.0512820513,14
