,Total False Negatives,Total False Positives,Total Errors,Error Rate,Accuracy,Dataset Size
412481,2,1,3,3.65853658537,96.3414634146,82
412480,1,1,2,2.46913580247,97.5308641975,81
412483,0,5,5,6.17283950617,93.8271604938,81
412482,0,1,1,1.23456790123,98.7654320988,81
412416,2,3,5,6.09756097561,93.9024390244,82
400057,77,10,87,10.223266745,89.776733255,851
412430,1,1,2,2.46913580247,97.5308641975,81
412431,0,3,3,3.7037037037,96.2962962963,81
412432,12,1,13,16.6666666667,83.3333333333,78
400175,23,17,40,9.1533180778,90.8466819222,437
412434,1,6,7,8.53658536585,91.4634146341,82
412435,15,1,16,19.512195122,80.487804878,82
400170,186,7,193,24.3073047859,75.6926952141,794
400171,33,15,48,6.20957309185,93.7904269082,773
412438,0,19,19,23.75,76.25,80
400076,106,45,151,15.5670103093,84.4329896907,970
400075,235,9,244,28.7735849057,71.2264150943,848
400074,109,7,116,23.7704918033,76.2295081967,488
400178,177,13,190,22.5118483412,77.4881516588,844
400179,211,4,215,32.9754601227,67.0245398773,652
400618,81,14,95,26.7605633803,73.2394366197,355
400617,38,4,42,11.7647058824,88.2352941176,357
400616,51,5,56,15.3005464481,84.6994535519,366
400313,29,8,37,10.9467455621,89.0532544379,338
400259,112,6,118,23.2283464567,76.7716535433,508
400311,21,201,222,36.4532019704,63.5467980296,609
400316,354,68,422,44.7983014862,55.2016985138,942
400314,206,14,220,27.2614622057,72.7385377943,807
400315,28,10,38,7.55467196819,92.4453280318,503
412294,16,6,22,12.5714285714,87.4285714286,175
400252,71,36,107,12.4708624709,87.5291375291,858
400318,107,77,184,18.4738955823,81.5261044177,996
412290,26,0,26,14.606741573,85.393258427,178
412292,14,0,14,7.95454545455,92.0454545455,176
412293,8,4,12,6.89655172414,93.1034482759,174
412474,0,6,6,7.31707317073,92.6829268293,82
412429,1,8,9,10.9756097561,89.0243902439,82
412475,3,1,4,5.06329113924,94.9367088608,79
412428,3,1,4,4.87804878049,95.1219512195,82
400663,34,4,38,10.6741573034,89.3258426966,356
